tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
CF-119a	CF-119a_LP-DIR-T	CF-119		ht	290.5	28.1	1	3	100	0.0	1.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:17:39	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-119a	CF-119a_LP-DIR-T	CF-119		ht	140.8	63.4	1	3	-1	0.0	1.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:17:39	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-11a		CF-11										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-11a	CF-11a_LP-DIR-T	CF-11		ht	193.7	-29.4	1	3	-1	0.0	4.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2020-10-16 17:09:42	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-11a	CF-11a_LP-DIR-T	CF-11		ht	292.9	34.0	1	3	0	0.0	4.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2020-10-16 17:09:42	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-11a	CF-11a_LP-DIR-T	CF-11		ht	286.7	39.5	1	3	100	0.0	4.1	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2020-10-16 17:09:42	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-120a		CF-120										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-120a	CF-120a_LP-DIR-T	CF-120		ht	162.5	71.2	1	3	-1	0.0	1.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:19:08	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-120a	CF-120a_LP-DIR-T	CF-120		ht	289.6	24.9	1	3	0	0.0	1.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:19:08	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-120a	CF-120a_LP-DIR-T	CF-120		ht	285.2	30.0	1	3	100	0.0	1.7	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:19:08	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-121a	CF-121a_LP-DIR-T	CF-121		ht	161.2	68.5	1	3	-1	0.0	0.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:20:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-121a	CF-121a_LP-DIR-T	CF-121		ht	289.5	13.4	1	3	0	0.0	0.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:20:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g			Cut Face Creek	CF
CF-121a	CF-121a_LP-DIR-T	CF-121		ht	287.1	18.6	1	3	100	0.0	0.8	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:20:34	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
CF-121a		CF-121										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-122a	CF-122a_LP-DIR-T	CF-122		ht	124.5	57.9	1	3	-1	0.0	2.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:22:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR	g			Cut Face Creek	CF
CF-122a		CF-122										Sedimentary	Sediment Layer	Siltstone:Sandstone				James Pierce				This study	LP-NOMAG				Cut Face Creek	CF
CF-122a	CF-122a_LP-DIR-T	CF-122		ht	286.7	21.0	1	3	100	0.0	2.2	Sedimentary	Sediment Layer	Siltstone:Sandstone	933	873	K		hargrave 2021-02-04 18:22:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g			Cut Face Creek	CF
