sample,#,depth,Dg,Ig,Ds,Is,Lat,Lon
GJ65,1227,131,244.8,-34.9,245.9,-24,-27,9.4
GJ64,1228,129,253.6,-36.2,253.7,-25.2,-20.6,4.8
GJ63,1229,127,259,-33.9,258.6,-22.9,-15.8,3.6
GJ62,1230,125,231.6,-38.4,234.3,-28.2,-38.1,13.2
GJ60,1231,121,227.9,-44.9,231.8,-35,-42.1,9.5
GJ59,1232,119,225.7,-20.7,227.2,-11,-39.1,28.2
GJ58,1233,117,47.6,47.4,51.9,37.4,42.7,187.4
GJ57,1234,115,33.9,28.3,37.1,19.7,49.9,211.2
GJ56-1,1235,113,42.9,19.7,44.4,10.3,41.1,210.7
GJ55-2,1236,111,29.3,29.6,34.7,24.1,53.2,210.3
GJ54,1237,109,6.8,47.2,19.3,45.4,72.7,196.7
GJ53,1238,107,53.1,60.4,63.6,50.7,36.4,170
GJ52-1,1239,105,18.6,29.8,24.8,26.3,61.6,219.4
GJ51,1240,103,32.3,44.3,41.3,38,51.9,192.6
GJ50,1241,101,4.5,52.6,19.8,51.1,73.1,180
GJ49,1242,99,44.3,38.9,50.5,30.8,42.1,193.5
GJ48,1243,97,19.9,47.2,31.3,43,61.8,192.5
GJ47,1244,95,13.2,38.1,22,35.5,67.2,212.6
GJ46,1245,93,43.2,59.8,47.1,53.2,50.4,171.2
GJ45,1246,91,40.1,36,42.1,29.7,48.9,199.7
GJ44,1247,89,79.5,42.7,78.4,35.8,19.7,176.4
GJ43,1248,87,74.7,49,73.8,42,25.4,174.1
GJ42-2,1249,85,37.5,35.2,39.6,29.1,50.8,202.1
GJ38,1250,77,29.2,45.7,33,40,59.6,195.6
GJ37,1251,75,46.7,18.5,47.3,11.9,39.3,207.6
GJ36,1252,73,63.4,64.1,64.2,57.1,37.5,162.2
GJ35-1,1253,71,30.9,55.2,35.9,49.3,59.2,180.2
GJ33,1254,67,59.6,67.5,61.2,60.5,40.5,158
GJ30,1255,62,48.3,34.9,49.7,28.3,42,195.8
GJ29,1256,60,64.4,39.3,64.6,32.3,30.4,185
GJ27,1257,56,27.4,62,34.4,56.3,61,167
GJ24,1258,50,350.7,67.6,5.7,65.1,73.1,111.8
GJ23,1259,48,7.4,45.4,12.9,41.5,76.6,216.6
GJ21,1260,44,8.7,35.7,19.8,38,69.9,211.8
GJ20,1261,42,23.1,61.6,48.7,58.1,49.7,163.2
GJ19,1262,40,26.1,43.3,39.6,40.7,54.1,190.6
GJ18,1263,38,351.3,38.3,3.3,44.8,84.7,244.4
GJ17,1264,36,52.1,17.2,55.2,9.5,32.1,203.4
GJ16,1265,34,11.1,47.3,27.8,48.3,66,184.8
GJ15,1266,32,0.5,67.7,38.7,68.6,54.8,140.3
GJ14,1267,30,23.2,27.7,30.9,26.7,57.1,211.9
GJ13,1268,28,42.9,72.9,74.2,63.8,32,151
GJ12,1269,26,57,54.3,70.4,44.4,29,173.5
GJ11,1270,24,42.6,26.1,48.6,20.2,40.6,201.9
GJ8,1271,18,37.2,37.5,47.2,32.6,45.4,194.1
GJ7,1272,16,345.5,23.2,351.9,31.7,74.5,308.5
GJ6,1273,14,30.9,39.5,42.2,36,50.6,194.1
GJ5,1274,12,229.4,-36.6,237.7,-28.8,-35.3,10.9
GJ1,1275,0,25.2,22.7,31.3,21.3,54.9,215.8
