Sample,Depth,RStrike,Dip,Demagnetization,n,MAD,Dg,Ig,Ds,Is,Plong,Plat,D*,I*,Plon*,Plat*,f
56G2,526.55,308,35,600-640,5,7.2,318.3,35,337.1,22.7,315.4,60.7,337.1,39.9,334.9,67.6,0.5
57B2,529.85,295,45,645-670,4,4.6,327.6,49.7,350.3,17,287.4,64.8,350.3,31.4,296.6,72.4,0.5
58C1,530.64,295,45,640-673,5,7,315.6,43.6,339.6,17.9,308.2,60.2,339.6,32.9,321.4,66.7,0.5
58D,532.18,295,45,620-665,8,6.6,325.6,28.6,335.9,1.3,304.9,51.1,335.9,2.6,305.5,51.7,0.5
58F1,534.11,295,45,650-670,5,0.7,310.6,15.7,317,0.5,324.8,38.4,317,1,325,38.6,0.5
59B1,535.28,295,45,630-665,5,10.9,290.8,9.9,298.8,16.1,345.6,28.7,298.8,30,353.5,32.6,0.5
59D,536.81,295,45,660-677,5,1.8,305.7,29.3,323,23.5,332.4,50.7,323,41,348.8,56.3,0.5
59G,538.19,295,45,650-670,5,2.1,316.5,32.4,333,20.5,319.4,57,333,36.8,335.1,63.2,0.5
59H1,539.36,295,45,645-680,7,10.8,328.5,40.7,346.5,21.8,298.1,65.7,346.5,38.7,316.8,74.1,0.5
59J2,539.4,295,45,645-665,5,3.4,325.5,32.7,341.7,10.6,300.6,58.2,341.7,20.5,306.4,62.6,0.5
59K2,540.95,295,45,650-670,5,13.9,315.4,58.4,352.1,40.8,304.5,78.7,352.1,59.9,50.1,79.3,0.5
59L2,540.98,295,45,630-655,5,4.5,321.3,39.2,340.7,23.7,310.5,63.4,340.7,41.3,332.6,71,0.5
60A1,541.44,295,45,650-670,5,2.3,301.5,43,331.7,25.1,324.5,57.9,331.7,43.1,345.5,64.2,0.5
60B2,545.23,295,45,655-677,5,1.6,324,37.5,340.4,9.1,302,56.8,340.4,17.8,306.8,60.6,0.5
60C2,543.65,295,45,655-670,5,4.1,307.6,54.6,344.7,29.1,307.8,68.3,344.7,48.1,345.2,76.5,0.5
60E,547.51,295,45,640-665,4,8.1,320.4,33.6,335.6,8,308.4,53.7,335.6,15.7,312.7,56.9,0.5
60G1,547.51,295,45,660-680,5,9.3,333.4,51.4,354.4,16.2,277.8,65.5,354.4,30.2,283.3,73.2,0.5
61B2,547.71,301,36,645-660,4,6.9,338.5,58.1,2.1,29.9,257.1,73.7,2.1,49,225.6,87.1,0.5
61E1,548.49,301,36,650-670,5,4.2,324.9,36.1,340.6,16.5,305.7,60.2,340.6,30.6,317.1,66.4,0.5
62A,549.68,301,36,650-670,5,2,309.7,54,344.3,37,318.6,71.8,344.3,56.4,18.9,76.2,0.5
62D1,553.28,301,36,645-665,5,4,310.8,36.5,331.2,23.6,323.9,56.9,331.2,41.2,343,63.2,0.5
62E1,554.28,301,36,660-680,5,1.9,320.5,28.6,333.1,12.4,314.1,53.9,333.1,23.7,321.7,58.4,0.5
62G1,555.93,301,36,640-660,5,4.6,314.4,37.3,334.2,22.5,319.3,58.7,334.2,39.6,337.7,65.2,0.5
62I,557.01,301,36,650-670,5,3.1,333,33.6,345,10.8,295.1,59.8,345,20.9,300.5,64.5,0.5
63C,560.49,301,36,400-550,4,7.6,349,49.8,3.7,19.6,254.7,67.6,3.7,35.5,248.6,77,0.5
63D1,562.49,301,36,630-655,5,6.4,277.5,58.7,336.1,54.4,8.7,69.9,336.1,70.3,54,62.1,0.5
64A1,562.85,301,36,660-680,5,2.3,287.2,63.4,346.2,51.8,359.1,78.3,346.2,68.5,61.1,68,0.5
64C,567.4,301,36,640-660,5,7.5,290.9,58.2,340.3,47.9,348.6,72.8,340.3,65.7,46.6,68.3,0.5
65A,567.54,305,44,655-675,5,1.2,280,47.1,331.1,46.6,352,64.7,331.1,64.7,35.9,63.7,0.5
65B,568.52,305,44,655-675,5,2.2,292.8,62.8,355.8,45,298.4,83.3,355.8,63.4,71.1,76.8,0.5
65D,570.75,305,44,655-675,5,1.3,283.5,54.1,341.8,47.1,345,73.8,341.8,65.1,46.7,69.6,0.5
65E,571.19,305,44,660-680,5,2.9,296.1,51.4,342.5,39,325.5,71.4,342.5,58.3,24.8,74.3,0.5
66B,575.17,305,44,655-675,5,3,291.6,58.1,349.3,44.1,322.8,78.7,349.3,62.7,52.2,75.5,0.5
66C2,575.93,305,44,640-670,4,13.9,309.2,70.1,8.1,41.2,222.4,78.9,8.1,60.3,117.6,78.9,0.5
66F,577.34,305,44,660-680,5,2.6,336.3,38.4,352.3,9.4,280.6,61.6,352.3,18.3,283.3,66.1,0.5
66I,579.27,305,44,660-680,5,1.2,326.1,55.9,359,27.1,267.5,72.1,359,45.7,274.3,84.9,0.5
66J,579.93,305,44,650-670,5,1.5,317.3,49.8,350,27,293.6,69.9,350,45.5,325.8,79.9,0.5
66K1,580.72,305,44,650-673,5,7.7,239.9,72.5,19.8,61.1,136.3,71.4,19.8,74.6,102.4,58.3,0.5
66K2,580.72,305,44,650-670,5,7.4,260.6,72.4,12,56.4,145.2,79,12,71.6,99.8,64.4,0.5
66L1,580.72,305,44,650-673,5,3.8,286.6,61.9,353.6,47.6,323.6,83.5,353.6,65.5,68.7,73.8,0.5
66N,582.22,305,44,660-680,5,8.6,295.2,46,336.2,36.9,331.5,65.8,336.2,56.3,14.3,69.9,0.5
67F,586.09,295,45,660-680,5,1.5,328.6,58.8,356.9,23.7,273.2,70,356.9,41.3,282.9,81.1,0.5
67H,586.87,295,45,650-670,5,1.3,298.7,58.7,345.5,35.5,313.8,71.9,345.5,55,13.7,77.5,0.5
67I,587.89,295,45,660-680,5,1.5,313.5,66.9,358.3,34.2,271.2,76.5,358.3,53.7,49.9,87.5,0.5
67L,589.45,295,45,660-680,5,1.1,309.9,74,5,39,239.5,78.9,5,58.3,113.8,82.1,0.5
67P1,591.02,295,45,660-680,4,10.4,280,40.2,318.2,36.6,347.2,51,318.2,56.1,13.5,55.5,0.5
67Q2,591.45,295,45,655-673,4,11.1,317.4,23.5,326.9,2,316,45.9,326.9,4,316.9,46.6,0.5
67R1,591.8,295,45,650-673,5,3,297.9,48.1,334.5,30.1,325.6,61.9,334.5,49.2,355.5,68.1,0.5
68A,592.23,295,45,655-675,5,2.1,282.3,20.3,300.8,22.3,347.7,32.1,300.8,39.4,359.3,37.1,0.5
68C,593.36,295,45,665-690,5,3.7,266.6,16.3,286.4,30.8,0.4,22.4,286.4,50,14.5,28.6,0.5
68D,594.67,295,45,655-675,5,2.2,295.6,27.4,315.1,17.9,335.5,42.6,315.1,32.9,345.9,47.2,0.5
68E,595.92,295,45,655-675,5,1.6,302,52.3,339.6,30,318.1,65.5,339.6,49.1,352.5,72.4,0.5
68F,597.43,295,45,655-675,5,1,319.4,42.2,340.3,14.5,305,59.1,340.3,27.4,314.3,64.8,0.5
68G,597.79,295,45,645-665,5,1.4,323.7,37.7,340,8.9,302.5,56.5,340,17.4,307.2,60.2,0.5
68H1,597.79,295,45,655-673,5,12.4,335.1,42.8,350.1,8,284.6,60.3,350.1,15.7,287.3,64.1,0.5
69C,601.93,295,45,660-680,5,1.6,284.3,36.6,316.4,31.2,343.7,47.8,316.4,50.5,4.8,53.2,0.5
69D1,604.08,295,45,660-680,5,6.1,351.1,41.2,359.9,1.1,264.5,58.3,359.9,2.2,264.5,58.9,0.5
69E1,606.59,295,45,645-660,5,2.1,343.4,44.4,356.1,6.4,272.3,60.8,356.1,12.6,273.1,63.9,0.5
